"","x"
"411","3"
"412","3"
"413","3"
"414","3"
"415","3"
"416","3"
"417","3"
"418","3"
"419","3"
"420","3"
"421","3"
"422","3"
"423","3"
"424","3"
"425","3"
"426","3"
"427","3"
"428","3"
"429","3"
"430","3"
"431","4"
"432","4"
"433","4"
"434","4"
"435","4"
"436","4"
"437","4"
"438","4"
"439","4"
"440","4"
"441","4"
"442","4"
"443","4"
"444","4"
"445","4"
"446","4"
"447","4"
"448","4"
"449","4"
"450","4"
"451","4"
"452","4"
"453","4"
"454","4"
"455","4"
"456","4"
"457","4"
"458","4"
"459","4"
"460","4"
"461","4"
"462","4"
"463","4"
"464","4"
"465","4"
"466","4"
"467","4"
"468","4"
"469","4"
"470","4"
"471","4"
"472","4"
"473","4"
"474","4"
"475","4"
"476","4"
"477","4"
"478","4"
"479","4"
"480","4"
"481","4"
"482","4"
"483","4"
"484","4"
"485","4"
"486","4"
"487","4"
"488","4"
"489","4"
"490","4"
"491","4"
"492","4"
"493","4"
"494","4"
"495","4"
"496","4"
"497","4"
"498","4"
"499","4"
"500","4"
"501","4"
"502","4"
"503","4"
"504","4"
"505","4"
"506","4"
"507","4"
"508","4"
"509","4"
"510","4"
"511","4"
"512","4"
"513","4"
"514","4"
"515","4"
"516","4"
"517","4"
"518","4"
"519","4"
"520","4"
"521","4"
"522","4"
"523","4"
"524","4"
"525","4"
"526","4"
"527","4"
"528","4"
"529","4"
"530","4"
"531","4"
"532","4"
"533","4"
"534","4"
"535","4"
"536","4"
"537","4"
"538","4"
"539","4"
"540","4"
"541","4"
"542","4"
"543","4"
"544","4"
"545","4"
"546","4"
"547","4"
"548","4"
"549","4"
"550","4"
"551","4"
"552","4"
"553","4"
"554","4"
"555","4"
"556","4"
"557","4"
"558","4"
"559","4"
"560","4"
"561","4"
"562","4"
"563","4"
"564","4"
"565","4"
"566","4"
"567","4"
"568","4"
"569","4"
"570","4"
"571","4"
"572","4"
"573","4"
"574","4"
"575","4"
"576","4"
"577","4"
"578","4"
"579","4"
"580","4"
"581","4"
"582","4"
"583","4"
"584","4"
"585","4"
"586","4"
"587","4"
"588","4"
"589","4"
"590","4"
"591","4"
"592","4"
"593","4"
"594","4"
"595","4"
"596","4"
"597","4"
"598","4"
"599","4"
"600","4"
"601","4"
"602","4"
"603","4"
"604","4"
"605","4"
"606","4"
"607","4"
"608","4"
"609","4"
"610","4"
"611","4"
"612","4"
"613","4"
"614","4"
"615","4"
"616","4"
"617","4"
"618","4"
"619","4"
"620","4"
"621","4"
"622","4"
"623","4"
"624","4"
"625","4"
"626","4"
"627","4"
"628","4"
"629","4"
"630","4"
"631","4"
"632","4"
"633","4"
"634","4"
"635","4"
"636","4"
"637","4"
"638","4"
"639","4"
"640","4"
"641","4"
"642","4"
"643","4"
"644","4"
"645","4"
"646","4"
"647","4"
"648","4"
"649","4"
"650","4"
"651","4"
"652","4"
"653","4"
"654","4"
"655","4"
"656","4"
"657","4"
"658","4"
"659","4"
"660","4"
"661","4"
"662","4"
"663","4"
"664","4"
"665","4"
"666","4"
"667","4"
"668","4"
"669","4"
"670","4"
"671","4"
"672","4"
"673","4"
"674","4"
"675","4"
"676","4"
"677","4"
"678","4"
"679","4"
"680","4"
"681","4"
"682","4"
"683","4"
"684","4"
"685","4"
"686","4"
"687","4"
"688","4"
"689","4"
"690","4"
"691","4"
"692","4"
"693","4"
"694","4"
"695","4"
"696","4"
"697","4"
"698","4"
"699","4"
"700","4"
"701","4"
"702","4"
"703","4"
"704","4"
"705","4"
"706","4"
"707","4"
"708","4"
"709","4"
"710","4"
"711","4"
"712","4"
"713","4"
"714","4"
"715","4"
"716","4"
"717","4"
"718","4"
"719","4"
"720","4"
"721","4"
"722","4"
"723","4"
"724","4"
"725","4"
"726","4"
"727","4"
"728","4"
"729","4"
"730","4"
"731","4"
"732","4"
"733","4"
"734","4"
"735","4"
"736","4"
"737","4"
"738","4"
"739","4"
"740","4"
"741","4"
"742","4"
"743","4"
"744","4"
"745","4"
"746","4"
"747","4"
"748","4"
"749","4"
"750","4"
"751","4"
"752","4"
"753","4"
"754","4"
"755","4"
"756","4"
"757","4"
"758","4"
"759","4"
"760","4"
"761","4"
"762","4"
"763","4"
"764","4"
"765","4"
"766","4"
"767","4"
"768","4"
"769","4"
"770","4"
"771","4"
"772","4"
"773","4"
"774","4"
"775","4"
"776","4"
"777","4"
"778","4"
"779","4"
"780","4"
"781","4"
"782","4"
"783","4"
"784","4"
"785","4"
"786","4"
"787","4"
"788","4"
"789","4"
"790","4"
"791","4"
"792","4"
"793","4"
"794","4"
"795","4"
"796","4"
"797","4"
"798","4"
"799","4"
"800","4"
"801","4"
"802","4"
"803","4"
"804","4"
"805","4"
"806","4"
"807","4"
"808","4"
"809","4"
"810","4"
"811","4"
"812","4"
"813","4"
"814","4"
"815","4"
"816","4"
"817","4"
"818","4"
"819","4"
"820","4"
"821","4"
"822","4"
"823","4"
"824","4"
"825","4"
"826","4"
"827","4"
"828","4"
"829","4"
"830","4"
"831","4"
"832","4"
"833","4"
"834","4"
"835","4"
"836","4"
"837","4"
"838","4"
"839","4"
"840","4"
"841","4"
"842","4"
"843","4"
"844","4"
"845","4"
"846","4"
"847","4"
"848","4"
"849","4"
"850","4"
"851","4"
"852","4"
"853","4"
"854","4"
"855","4"
"856","4"
"857","4"
"858","4"
"859","4"
"860","4"
"861","4"
"862","4"
"863","4"
"864","4"
"865","4"
"866","4"
"867","4"
"868","4"
"869","4"
"870","4"
"871","4"
"872","4"
"873","4"
"874","4"
"875","4"
"876","4"
"877","4"
"878","4"
"879","4"
"880","4"
"881","4"
"882","4"
"883","4"
"884","4"
"885","4"
"886","4"
"887","4"
"888","4"
"889","4"
"890","4"
"891","4"
"892","4"
"893","4"
"894","4"
"895","4"
"896","4"
"897","4"
"898","4"
"899","4"
"900","4"
"901","4"
"902","4"
"903","4"
"904","4"
"905","4"
"906","4"
"907","4"
"908","4"
"909","4"
"910","4"
"911","4"
"912","4"
"913","4"
"914","4"
"915","4"
"916","4"
"917","4"
"918","4"
"919","4"
"920","4"
"921","4"
"922","4"
"923","4"
"924","4"
"925","4"
"926","4"
"927","4"
"928","4"
"929","4"
"930","4"
"931","4"
"932","4"
"933","4"
"934","4"
"935","4"
"936","4"
"937","4"
"938","4"
"939","4"
"940","4"
"941","4"
"942","4"
"943","4"
"944","4"
"945","4"
"946","4"
"947","4"
"948","4"
"949","4"
"950","4"
"951","4"
"952","4"
"953","4"
"954","4"
"955","4"
"956","4"
"957","4"
"958","4"
"959","4"
"960","4"
"961","4"
"962","4"
"963","4"
"964","4"
"965","4"
"966","4"
"967","4"
"968","4"
"969","4"
"970","4"
"971","4"
"972","4"
"973","4"
"974","4"
"975","4"
"976","4"
"977","4"
"978","4"
"979","4"
"980","4"
"981","4"
"982","4"
"983","4"
"984","4"
"985","4"
"986","4"
"987","4"
"988","4"
"989","4"
"990","4"
"991","4"
"992","4"
"993","4"
"994","4"
"995","4"
"996","2"
"997","2"
"998","2"
"999","4"
"1000","4"
"1001","4"
"1002","4"
"1003","4"
"1004","4"
"1005","4"
"1006","2"
"1007","4"
"1008","4"
"1009","4"
"1010","4"
"1011","4"
"1012","4"
"1013","4"
"1014","4"
"1015","4"
"1016","4"
"1017","4"
"1018","4"
"1019","4"
"1020","1"
"1021","1"
"1022","4"
"1023","4"
"1024","4"
"1025","4"
"1026","4"
"1027","4"
"1028","4"
"1029","4"
"1030","4"
"1031","4"
"1032","4"
"1033","4"
"1034","4"
"1035","4"
"1036","4"
"1037","4"
"1038","4"
"1039","4"
"1040","4"
"1041","4"
"1042","4"
"1043","4"
"1044","4"
"1045","4"
"1046","4"
"1047","4"
"1048","4"
"1049","4"
"1050","4"
"1051","4"
"1052","4"
"1053","4"
"1054","4"
"1055","4"
"1056","2"
"1057","4"
"1058","2"
"1059","2"
"1060","4"
"1061","4"
"1062","4"
"1063","4"
"1064","4"
"1065","4"
"1066","4"
"1067","4"
"1068","4"
"1069","4"
"1070","4"
"1071","4"
"1072","4"
"1073","4"
"1074","4"
"1075","4"
"1076","4"
"1077","4"
"1078","4"
"1079","4"
"1080","4"
"1081","4"
"1082","4"
"1083","4"
"1084","2"
"1085","4"
"1086","4"
"1087","4"
"1088","4"
"1089","4"
"1090","4"
"1091","4"
"1092","4"
"1093","4"
"1094","4"
"1095","4"
"1096","4"
"1097","4"
"1098","4"
"1099","4"
"1100","4"
"1101","4"
"1102","4"
"1103","4"
"1104","4"
"1105","4"
"1106","4"
"1107","4"
"1108","4"
"1109","4"
"1110","4"
"1111","4"
"1112","4"
"1113","4"
"1114","4"
"1115","4"
"1116","2"
"1117","4"
"1118","4"
"1119","4"
"1120","4"
"1121","4"
"1122","4"
"1123","4"
"1124","4"
"1125","4"
"1126","4"
"1127","4"
"1128","4"
"1129","4"
"1130","4"
"1131","4"
"1132","4"
"1133","4"
"1134","4"
"1135","4"
"1136","4"
"1137","4"
"1138","4"
"1139","4"
"1140","4"
"1141","4"
"1142","4"
"1143","4"
"1144","4"
"1145","4"
"1146","4"
"1147","4"
"1148","4"
"1149","2"
"1150","4"
"1151","4"
"1152","4"
"1153","4"
"1154","4"
"1155","4"
"1156","4"
"1157","4"
"1158","4"
"1159","4"
"1160","4"
"1161","4"
"1162","4"
"1163","4"
"1164","1"
"1165","4"
"1166","4"
"1167","4"
"1168","4"
"1169","4"
"1170","4"
"1171","4"
"1172","4"
"1173","4"
"1174","4"
"1175","4"
"1176","4"
"1177","4"
"1178","4"
"1179","4"
"1180","2"
"1181","2"
"1182","4"
"1183","4"
"1184","4"
"1185","4"
"1186","4"
"1187","4"
"1188","4"
"1189","4"
"1190","4"
"1191","4"
"1192","4"
"1193","4"
"1194","4"
"1195","4"
"1196","4"
"1197","4"
"1198","4"
"1199","4"
"1200","4"
"1201","4"
"1202","4"
"1203","4"
"1204","4"
"1205","4"
"1206","4"
"1207","4"
"1208","4"
"1209","4"
"1210","4"
"1211","4"
"1212","4"
"1213","4"
"1214","4"
"1215","4"
"1216","4"
"1217","4"
"1218","4"
"1219","4"
"1220","4"
"1221","4"
"1222","4"
"1223","4"
"1224","4"
"1225","4"
"1226","4"
"1227","4"
"1228","4"
"1229","4"
"1230","4"
"1231","4"
"1232","4"
"1233","4"
"1234","4"
"1235","4"
"1236","4"
"1237","4"
"1238","4"
"1239","4"
"1240","4"
"1241","4"
"1242","4"
"1243","4"
"1244","4"
"1245","4"
"1246","4"
"1247","4"
"1248","4"
"1249","4"
"1250","4"
"1251","4"
"1252","4"
"1253","1"
"1254","4"
"1255","4"
"1256","4"
"1257","4"
"1258","2"
"1259","4"
"1260","4"
"1261","4"
"1262","4"
"1263","4"
"1264","1"
"1265","4"
"1266","4"
"1267","4"
"1268","4"
"1269","4"
"1270","4"
"1271","4"
"1272","4"
"1273","4"
"1274","4"
"1275","4"
"1276","4"
"1277","4"
"1278","4"
"1279","4"
"1280","4"
"1281","4"
"1282","4"
"1283","4"
"1284","4"
"1285","4"
"1286","4"
"1287","4"
"1288","4"
"1289","4"
"1290","4"
"1291","4"
"1292","4"
"1293","4"
"1294","4"
"1295","4"
"1296","4"
"1297","4"
"1298","4"
"1299","4"
"1300","4"
"1301","4"
"1302","4"
"1303","4"
"1304","4"
"1305","4"
"1306","4"
"1307","4"
"1308","4"
"1309","4"
"1310","4"
"1311","4"
"1312","4"
"1313","4"
"1314","4"
"1315","4"
"1316","4"
"1317","4"
"1318","4"
"1319","4"
"1320","4"
"1321","4"
"1322","4"
"1323","4"
"1324","4"
"1325","4"
"1326","4"
"1327","4"
"1328","4"
"1329","4"
"1330","4"
"1331","4"
"1332","4"
"1333","4"
"1334","4"
"1335","4"
"1336","4"
"1337","4"
"1338","4"
"1339","4"
"1340","4"
"1341","4"
"1342","4"
"1343","4"
"1344","4"
"1345","4"
"1346","4"
"1347","4"
"1348","4"
"1349","4"
"1350","4"
"1351","4"
"1352","4"
"1353","4"
"1354","4"
"1355","4"
"1356","4"
"1357","4"
"1358","4"
"1359","4"
"1360","4"
"1361","4"
"1362","4"
"1363","4"
"1364","4"
"1365","4"
"1366","4"
"1367","4"
"1368","4"
"1369","4"
"1370","4"
"1371","4"
"1372","4"
"1373","4"
"1374","4"
"1375","4"
"1376","4"
"1377","4"
"1378","4"
"1379","4"
"1380","4"
"1381","4"
"1382","4"
"1383","4"
"1384","4"
"1385","4"
"1386","4"
"1387","4"
"1388","4"
"1389","4"
"1390","4"
"1391","4"
"1392","4"
"1393","4"
"1394","4"
"1395","4"
"1396","4"
"1397","4"
"1398","4"
"1399","4"
"1400","4"
"1401","4"
"1402","4"
"1403","4"
"1404","4"
"1405","4"
"1406","4"
"1407","4"
"1408","4"
"1409","4"
"1410","4"
"1411","4"
"1412","4"
"1413","4"
"1414","4"
"1415","4"
"1416","4"
"1417","4"
"1418","4"
"1419","4"
"1420","4"
"1421","4"
"1422","4"
"1423","4"
"1424","4"
"1425","4"
"1426","4"
"1427","4"
"1428","4"
"1429","4"
"1430","4"
"1431","4"
"1432","4"
"1433","4"
"1434","4"
"1435","4"
"1436","4"
"1437","4"
"1438","4"
"1439","4"
"1440","4"
"1441","4"
"1442","4"
"1443","4"
"1444","4"
"1445","4"
"1446","4"
"1447","4"
"1448","4"
"1449","4"
"1450","4"
"1451","4"
"1452","4"
"1453","4"
"1454","4"
"1455","3"
"1456","4"
"1457","4"
"1458","4"
"1459","4"
"1460","4"
"1461","4"
"1462","4"
"1463","4"
"1464","4"
"1465","4"
"1466","4"
"1467","3"
"1468","4"
"1469","2"
"1470","4"
"1471","4"
"1472","4"
"1473","4"
"1474","4"
"1475","4"
"1476","4"
"1477","4"
"1478","4"
"1479","4"
"1480","4"
"1481","4"
"1482","4"
"1483","4"
"1484","4"
"1485","4"
"1486","4"
"1487","4"
"1488","4"
"1489","4"
"1490","4"
"1491","4"
"1492","4"
"1493","4"
"1494","4"
"1495","4"
"1496","4"
"1497","4"
"1498","4"
"1499","4"
"1500","4"
"1501","4"
"1502","4"
"1503","4"
"1504","4"
"1505","4"
"1506","4"
"1507","4"
"1508","4"
"1509","4"
"1510","4"
"1511","4"
"1512","4"
"1513","4"
"1514","4"
"1515","4"
"1516","4"
"1517","4"
"1518","4"
"1519","4"
"1520","4"
"1521","4"
"1522","4"
"1523","4"
"1524","4"
"1525","4"
"1526","4"
"1527","4"
"1528","4"
"1529","4"
"1530","4"
"1531","4"
"1532","4"
"1533","4"
"1534","4"
"1535","4"
"1536","4"
"1537","4"
"1538","4"
"1539","4"
"1540","4"
"1541","4"
"1542","4"
"1543","4"
"1544","2"
"1545","4"
"1546","4"
"1547","4"
"1548","4"
"1549","4"
"1550","4"
"1551","4"
"1552","4"
"1553","4"
"1554","4"
"1555","4"
"1556","4"
"1557","4"
"1558","4"
"1559","4"
"1560","4"
"1561","4"
"1562","4"
"1563","4"
"1564","4"
"1565","4"
"1566","4"
"1567","4"
"1568","4"
"1569","4"
"1570","4"
"1571","4"
"1572","4"
"1573","4"
"1574","4"
"1575","4"
"1576","4"
"1577","4"
"1578","4"
"1579","4"
"1580","4"
"1581","4"
"1582","4"
"1583","4"
"1584","4"
"1585","4"
"1586","4"
"1587","4"
"1588","4"
"1589","4"
"1590","4"
"1591","4"
"1592","4"
"1593","4"
"1594","4"
"1595","4"
"1596","4"
"1597","4"
"1598","4"
"1599","4"
"1600","4"
"1601","4"
"1602","4"
"1603","4"
"1604","4"
"1605","4"
"1606","4"
"1607","4"
"1608","4"
"1609","2"
"1610","2"
"1611","4"
"1612","4"
"1613","4"
"1614","4"
"1615","4"
"1616","4"
"1617","4"
"1618","4"
"1619","4"
"1620","4"
"1621","4"
"1622","4"
"1623","4"
"1624","4"
"1625","4"
"1626","4"
"1627","4"
"1628","4"
"1629","4"
"1630","4"
"1631","4"
"1632","4"
"1633","4"
"1634","4"
"1635","4"
"1636","4"
"1637","4"
"1638","4"
"1639","4"
"1640","4"
"1641","4"
"1642","4"
"1643","4"
"1644","4"
"1645","4"
"1646","4"
"1647","4"
"1648","4"
"1649","4"
"1650","4"
"1651","4"
"1652","4"
"1653","4"
"1654","4"
"1655","4"
"1656","4"
"1657","4"
"1658","4"
"1659","4"
"1660","4"
"1661","4"
"1662","4"
"1663","4"
"1664","4"
"1665","4"
"1666","4"
"1667","4"
"1668","4"
"1669","4"
"1670","4"
"1671","4"
"1672","4"
"1673","4"
"1674","4"
"1675","4"
"1676","4"
"1677","4"
"1678","4"
"1679","4"
"1680","4"
"1681","4"
"1682","4"
"1683","4"
"1684","4"
"1685","4"
"1686","4"
"1687","4"
"1688","4"
"1689","4"
"1690","4"
"1691","4"
"1692","4"
"1693","4"
"1694","4"
"1695","4"
"1696","4"
"1697","4"
"1698","4"
"1699","4"
"1700","4"
"1701","4"
"1702","4"
"1703","4"
"1704","4"
"1705","4"
"1706","4"
"1707","4"
"1708","4"
"1709","4"
"1710","4"
"1711","4"
"1712","4"
"1713","4"
"1714","4"
"1715","4"
"1716","4"
"1717","4"
"1718","4"
"1719","4"
"1720","4"
"1721","4"
"1722","4"
"1723","4"
"1724","4"
"1725","4"
"1726","4"
"1727","3"
"1728","4"
"1729","4"
"1730","4"
"1731","4"
"1732","4"
"1733","4"
"1734","4"
"1735","4"
"1736","4"
"1737","4"
"1738","4"
"1739","4"
"1740","4"
"1741","4"
"1742","4"
"1743","4"
"1744","4"
"1745","4"
"1746","4"
"1747","4"
"1748","4"
"1749","4"
"1750","4"
"1751","4"
"1752","2"
"1753","4"
"1754","4"
"1755","2"
"1756","2"
"1757","2"
"1758","4"
"1759","4"
"1760","4"
"1761","4"
"1762","4"
"1763","4"
"1764","4"
"1765","4"
"1766","4"
"1767","4"
"1768","4"
"1769","4"
"1770","4"
"1771","4"
"1772","4"
"1773","1"
"1774","1"
"1775","1"
"1776","1"
"1777","1"
"1778","1"
"1779","1"
"1780","1"
"1781","1"
"1782","1"
"1783","1"
"1784","1"
"1785","1"
"1786","1"
"1787","1"
"1788","1"
"1789","1"
"1790","1"
"1791","1"
"1792","1"
"1793","1"
"1794","1"
"1795","1"
"1796","1"
"1797","1"
"1798","1"
"1799","1"
"1800","1"
"1801","1"
"1802","1"
"1803","1"
"1804","1"
"1805","1"
"1806","1"
"1807","1"
"1808","1"
"1809","1"
"1810","1"
"1811","1"
"1812","1"
"1813","1"
"1814","1"
"1815","1"
"1816","1"
"1817","1"
"1818","1"
"1819","1"
"1820","1"
"1821","1"
"1822","1"
"1823","1"
"1824","1"
"1825","1"
"1826","1"
"1827","1"
"1828","1"
"1829","1"
"1830","1"
"1831","1"
"1832","1"
"1833","1"
"1834","1"
"1835","1"
"1836","1"
"1837","1"
"1838","1"
"1839","1"
"1840","1"
"1841","1"
"1842","1"
"1843","1"
"1844","1"
"1845","1"
"1846","1"
"1847","1"
"1848","1"
"1849","1"
"1850","1"
"1851","1"
"1852","1"
"1853","1"
"1854","1"
"1855","1"
"1856","1"
"1857","1"
"1858","1"
"1859","1"
"1860","1"
"1861","1"
"1862","1"
"1863","1"
"1864","1"
"1865","1"
"1866","1"
"1867","1"
"1868","1"
"1869","1"
"1870","1"
"1871","1"
"1872","1"
"1873","1"
"1874","1"
"1875","1"
"1876","1"
"1877","1"
"1878","1"
"1879","1"
"1880","1"
"1881","1"
"1882","1"
"1883","1"
"1884","1"
"1885","1"
"1886","1"
"1887","1"
"1888","1"
"1889","1"
"1890","1"
"1891","1"
"1892","1"
"1893","1"
"1894","1"
"1895","1"
"1896","1"
"1897","1"
"1898","1"
"1899","1"
"1900","1"
"1901","1"
"1902","1"
"1903","1"
"1904","1"
"1905","1"
"1906","1"
"1907","1"
"1908","1"
"1909","1"
"1910","1"
"1911","1"
"1912","1"
"1913","1"
"1914","1"
"1915","1"
"1916","1"
"1917","1"
"1918","1"
"1919","1"
"1920","1"
"1921","1"
"1922","1"
"1923","1"
"1924","1"
"1925","1"
"1926","1"
"1927","1"
"1928","1"
"1929","1"
"1930","1"
"1931","1"
"1932","1"
"1933","1"
"1934","1"
"1935","1"
"1936","1"
"1937","1"
"1938","1"
"1939","4"
"1940","4"
"1941","4"
"1942","4"
"1943","4"
"1944","4"
"1945","4"
"1946","4"
"1947","4"
"1948","4"
"1949","4"
"1950","4"
"1951","4"
"1952","4"
"1953","4"
"1954","4"
"1955","4"
"1956","4"
"1957","4"
"1958","4"
"1959","4"
"1960","4"
"1961","4"
"1962","4"
"1963","4"
"1964","4"
"1965","4"
"1966","4"
"1967","4"
"1968","4"
"1969","4"
"1970","4"
"1971","4"
"1972","4"
"1973","4"
"1974","4"
"1975","4"
"1976","4"
"1977","4"
"1978","4"
"1979","4"
"1980","4"
"1981","4"
"1982","4"
"1983","2"
"1984","2"
"1985","2"
"1986","4"
"1987","4"
"1988","4"
"1989","4"
"1990","4"
"1991","4"
"1992","4"
"1993","4"
"1994","4"
"1995","4"
"1996","4"
"1997","4"
"1998","4"
"1999","1"
"2000","4"
"2001","4"
"2002","4"
"2003","4"
"2004","3"
"2005","3"
"2006","4"
"2007","4"
"2008","4"
"2009","4"
"2010","4"
"2011","4"
"2012","4"
"2013","4"
"2014","4"
"2015","4"
"2016","4"
"2017","4"
"2018","4"
"2019","4"
"2020","2"
"2021","4"
"2022","4"
"2023","4"
"2024","4"
"2025","4"
"2026","4"
"2027","4"
"2028","4"
"2029","4"
"2030","4"
"2031","4"
"2032","4"
"2033","4"
"2034","4"
"2035","4"
"2036","4"
"2037","4"
"2038","4"
"2039","4"
"2040","4"
"2041","4"
"2042","4"
"2043","4"
"2044","4"
"2045","4"
"2046","2"
"2047","2"
"2048","4"
"2049","4"
"2050","4"
"2051","4"
"2052","4"
"2053","4"
"2054","1"
"2055","4"
"2056","4"
"2057","4"
"2058","4"
"2059","4"
"2060","4"
"2061","4"
"2062","4"
"2063","4"
"2064","4"
"2065","4"
"2066","4"
"2067","4"
"2068","4"
"2069","4"
"2070","4"
"2071","4"
"2072","4"
"2073","4"
"2074","4"
"2075","4"
"2076","4"
"2077","4"
"2078","4"
"2079","4"
"2080","4"
"2081","4"
"2082","4"
"2083","4"
"2084","4"
"2085","4"
"2086","4"
"2087","4"
"2088","4"
"2089","4"
"2090","4"
"2091","4"
"2092","4"
"2093","4"
"2094","4"
"2095","4"
"2096","4"
"2097","4"
"2098","4"
"2099","4"
"2100","4"
"2101","2"
"2102","4"
"2103","4"
"2104","4"
"2105","4"
"2106","4"
"2107","4"
"2108","4"
"2109","4"
"2110","4"
"2111","1"
"2112","1"
"2113","4"
"2114","4"
"2115","2"
"2116","4"
"2117","4"
"2118","4"
"2119","4"
"2120","4"
"2121","4"
"2122","4"
"2123","4"
"2124","4"
"2125","4"
"2126","4"
"2127","4"
"2128","3"
"2129","4"
"2130","4"
"2131","4"
"2132","4"
"2133","4"
"2134","4"
"2135","4"
"2136","4"
"2137","4"
"2138","4"
"2139","4"
"2140","4"
"2141","4"
